CUSTOMER_CODE,INVOICE_CODE,AMOUNT,DATE
CUST0000002007,IN0000020557,1646.1,09-05-23
CUST0000015549,IN0000006179,1977.7,1/21/2023
CUST0000015743,IN0000093673,1667.5,08-12-23
CUST0000027590,IN0000029894,1969.2,01-11-23
CUST0000052228,IN0000084460,904.3,3/18/2023
CUST0000098395,IN0000078670,466.2,03-07-23
CUST0000095433,IN0000031320,174.7,02-04-23
CUST0000095776,IN0000097898,163.7,08-10-23
CUST0000003947,IN0000001826,91.4,03-05-23
CUST0000013416,IN0000042467,712.9,11/16/2022
CUST0000009293,IN0000036085,1134.9,2/17/2023
CUST0000015066,IN0000099372,1818.1,01-03-23
CUST0000018284,IN0000021679,401.8,9/30/2023
CUST0000078599,IN0000060960,1758.6,06-09-23
CUST0000041872,IN0000062832,1422.9,9/20/2023
CUST0000010701,IN0000077839,1324.9,12/14/2022
CUST0000010422,IN0000059307,390.3,08-09-23
CUST0000016754,IN0000052897,1535.4,2/23/2023
CUST0000032269,IN0000035401,1392.2,05-09-23
CUST0000047089,IN0000076169,1565.8,11/28/2022
CUST0000048449,IN0000090784,1571.2,2/23/2023
CUST0000009331,IN0000048054,229.4,09-07-23
CUST0000067063,IN0000083028,654.4,5/18/2023
CUST0000033970,IN0000017025,410.3,5/20/2023
CUST0000030921,IN0000014304,1752.3,2/14/2023
CUST0000008549,IN0000049471,296.9,03-01-23
CUST0000061235,IN0000041718,1864.6,8/24/2023
CUST0000038543,IN0000067725,1921.6,09-10-23
CUST0000023761,IN0000085564,1571.5,10/16/2022
CUST0000096021,IN0000072982,1471.2,3/19/2023
CUST0000011069,IN0000016510,1189.8,2/21/2023
CUST0000057678,IN0000032132,1906.9,3/18/2023
CUST0000024781,IN0000071561,1507.6,02-06-23
CUST0000097814,IN0000046350,1231.7,06-01-23
CUST0000065049,IN0000008226,1831.3,12-08-22
CUST0000086954,IN0000082321,1281.9,09-12-23
CUST0000036630,IN0000082896,1091.6,05-05-23
CUST0000055079,IN0000067681,111.8,12/26/2022
CUST0000028175,IN0000011405,1508.7,7/20/2023
CUST0000095146,IN0000028481,10.7,10/26/2022
CUST0000093685,IN0000070803,1486.3,10/28/2022
CUST0000064110,IN0000062687,995.6,4/28/2023
CUST0000079876,IN0000045719,1225.6,7/14/2023
CUST0000027084,IN0000084974,184.1,09-06-23
CUST0000003029,IN0000078981,1516.1,08-03-23
CUST0000067362,IN0000028128,855.8,04-11-23
CUST0000021007,IN0000036914,1467.2,4/29/2023
CUST0000066214,IN0000074157,625.6,6/26/2023
CUST0000083075,IN0000042052,1034,01-05-23
CUST0000000703,IN0000088361,486.1,1/31/2023
CUST0000011019,IN0000064705,1425.1,4/23/2023
CUST0000051791,IN0000059927,419.1,02-07-23
CUST0000023682,IN0000092594,717.6,8/30/2023
CUST0000040810,IN0000050026,1282.9,09-11-23
CUST0000065672,IN0000006659,887.4,12/14/2022
CUST0000008871,IN0000017534,1007.4,8/20/2023
CUST0000052076,IN0000019836,177.5,10-10-23
CUST0000041043,IN0000080155,745.8,5/24/2023
CUST0000056029,IN0000026330,1805.1,12/18/2022
CUST0000070208,IN0000085767,1649,12-03-22
CUST0000094493,IN0000092733,546.6,03-02-23
CUST0000055117,IN0000058689,1033,04-11-23
CUST0000080217,IN0000074264,1500.1,11-03-22
CUST0000089174,IN0000003843,481.3,06-12-23
CUST0000086656,IN0000027374,365.5,5/27/2023
CUST0000067430,IN0000030244,955.8,9/29/2023
CUST0000044221,IN0000094178,1175.4,12/22/2022
CUST0000034771,IN0000042441,6.1,08-02-23
CUST0000071017,IN0000059981,812.4,8/17/2023
CUST0000003925,IN0000077348,703.9,2/24/2023
CUST0000081447,IN0000074366,197.5,1/13/2023
CUST0000044280,IN0000093399,1945.6,04-11-23
CUST0000060672,IN0000076432,1913,10/27/2022
CUST0000063636,IN0000083413,1674.3,12/15/2022
CUST0000082801,IN0000023401,767.4,8/18/2023
CUST0000029000,IN0000079659,17.9,5/27/2023
CUST0000032588,IN0000038919,1980.6,8/13/2023
CUST0000011959,IN0000024559,1938.2,9/30/2023
CUST0000086151,IN0000096949,853.2,7/25/2023
CUST0000000970,IN0000005054,43.3,3/28/2023
CUST0000065873,IN0000019430,1133.5,3/22/2023
CUST0000095425,IN0000015484,156.9,07-07-23
CUST0000092365,IN0000061507,1745.8,05-08-23
CUST0000036168,IN0000011069,397.9,01-08-23
CUST0000064557,IN0000042601,431.4,05-08-23
CUST0000073982,IN0000042095,1240.9,11/24/2022
CUST0000065371,IN0000035101,1628.6,6/26/2023
CUST0000062345,IN0000005875,455.3,3/28/2023
CUST0000082532,IN0000012318,161.6,8/28/2023
CUST0000082613,IN0000020552,10.4,9/26/2023
CUST0000028278,IN0000024031,1060.9,2/18/2023
CUST0000008501,IN0000054113,619.4,11/23/2022
CUST0000083199,IN0000029681,878.2,12-04-22
CUST0000071453,IN0000088343,1596.4,02-07-23
CUST0000013839,IN0000021792,1776.5,11/13/2022
CUST0000085362,IN0000042366,1988.5,02-06-23
CUST0000075463,IN0000047790,576.9,12/20/2022
CUST0000048433,IN0000064405,952,07-12-23
CUST0000037227,IN0000031666,836.3,01-01-23
CUST0000048295,IN0000073607,516.9,11/27/2022
CUST0000061770,IN0000020953,1686.3,05-11-23
CUST0000089638,IN0000041321,464.4,10/20/2022
CUST0000053218,IN0000035311,244.5,02-09-23
CUST0000033557,IN0000098341,717.9,8/28/2023
CUST0000054049,IN0000014717,1580.2,11/17/2022
CUST0000090342,IN0000091640,527.4,1/31/2023
CUST0000042198,IN0000017764,1128.4,8/24/2023
CUST0000075146,IN0000070601,1473.8,12-05-22
CUST0000069240,IN0000027598,513.4,07-12-23
CUST0000012774,IN0000042321,187.8,9/17/2023
CUST0000028675,IN0000075990,1729.7,06-10-23
CUST0000089134,IN0000026206,1782.5,02-02-23
CUST0000099836,IN0000036688,1572.3,5/26/2023
CUST0000088759,IN0000000308,1106.2,03-06-23
CUST0000058387,IN0000027331,412.5,11/24/2022
CUST0000021923,IN0000047835,1001.4,8/31/2023
CUST0000044785,IN0000097836,981.4,10-10-23
CUST0000067829,IN0000079383,1080.4,11-08-22
CUST0000095660,IN0000091634,958.6,05-09-23
CUST0000062915,IN0000049568,1835.7,1/18/2023
CUST0000001436,IN0000006551,180.8,08-05-23
CUST0000070959,IN0000091642,1596,06-05-23
CUST0000051419,IN0000049480,567.1,1/19/2023
CUST0000046751,IN0000010513,1905.7,10/24/2022
CUST0000028533,IN0000099623,1437.1,05-11-23
CUST0000097846,IN0000055835,764.7,7/13/2023
CUST0000030213,IN0000026759,1251.8,8/18/2023
CUST0000012314,IN0000094276,538.6,12-03-22
CUST0000083016,IN0000086508,51.3,3/18/2023
CUST0000013929,IN0000043609,672,05-06-23
CUST0000080102,IN0000004876,1745.3,04-08-23
CUST0000085124,IN0000012701,1956.9,6/28/2023
CUST0000062648,IN0000086332,1122.2,09-10-23
CUST0000015155,IN0000008423,1158.7,7/29/2023
CUST0000098181,IN0000097643,1052,4/17/2023
CUST0000079398,IN0000050700,202.9,1/23/2023
CUST0000064842,IN0000068510,1944.9,11/18/2022
CUST0000014764,IN0000053032,1550,7/24/2023
CUST0000092926,IN0000053762,951.6,4/20/2023
CUST0000091650,IN0000044596,1278.1,4/20/2023
CUST0000025651,IN0000092829,1436.7,10/20/2022
CUST0000025505,IN0000096626,729.4,1/15/2023
CUST0000013526,IN0000079063,1935.6,2/26/2023
CUST0000039588,IN0000026713,1326.8,10-12-23
CUST0000081471,IN0000053759,998,5/29/2023
CUST0000060518,IN0000095549,833,8/30/2023
CUST0000017430,IN0000095460,256.9,1/21/2023
CUST0000070246,IN0000055133,1303.6,03-12-23
CUST0000084049,IN0000003112,311.1,07-08-23
CUST0000085850,IN0000053364,534.8,4/25/2023
CUST0000013708,IN0000094787,1699.8,5/23/2023
CUST0000089507,IN0000056935,1017.6,09-12-23
CUST0000057705,IN0000071884,1486.6,10-08-23
CUST0000072799,IN0000085886,1475.1,2/17/2023
CUST0000079441,IN0000092750,1929.7,10/24/2022
CUST0000034897,IN0000043976,1648.2,10/21/2022
CUST0000075777,IN0000076698,1918.7,8/13/2023
CUST0000047564,IN0000019337,1448.3,11/23/2022
CUST0000011419,IN0000086586,1302.5,5/22/2023
CUST0000033897,IN0000000672,1253.7,4/26/2023
CUST0000069376,IN0000047293,1829.4,7/24/2023
CUST0000034208,IN0000013178,271.4,05-08-23
CUST0000081310,IN0000029762,751.4,9/29/2023
CUST0000097805,IN0000002322,856.5,08-06-23
CUST0000004654,IN0000018837,495.2,4/30/2023
CUST0000089265,IN0000060737,798.1,1/22/2023
CUST0000047239,IN0000010953,159.7,1/31/2023
CUST0000032496,IN0000026706,636,02-07-23
CUST0000028030,IN0000035844,1089.9,2/27/2023
CUST0000014573,IN0000086875,1013.8,1/27/2023
CUST0000069308,IN0000074167,1823.7,11/29/2022
CUST0000008921,IN0000036460,921.8,02-12-23
CUST0000060252,IN0000031655,1027.7,6/17/2023
CUST0000080911,IN0000089261,1976.7,07-10-23
CUST0000044723,IN0000093612,1012.8,7/24/2023
CUST0000032592,IN0000052314,1261.8,10/25/2022
CUST0000001408,IN0000040564,983.6,12/18/2022
CUST0000001850,IN0000002571,1495.8,3/15/2023
CUST0000078441,IN0000040373,321.2,7/24/2023
CUST0000056312,IN0000076518,1484.5,06-03-23
CUST0000098025,IN0000009311,1071.8,4/29/2023
CUST0000074668,IN0000013595,1415,2/13/2023
CUST0000079496,IN0000026525,1664.9,6/29/2023
CUST0000014546,IN0000073370,917.8,11/14/2022
CUST0000044637,IN0000017558,240.7,3/28/2023
CUST0000050976,IN0000019019,1863.1,5/14/2023
CUST0000085558,IN0000060469,1990.7,7/27/2023
CUST0000097556,IN0000084564,913,02-06-23
CUST0000075351,IN0000077035,909.8,10/25/2022
CUST0000082360,IN0000070308,780.9,11-02-22
CUST0000032283,IN0000042432,1788.3,1/29/2023
CUST0000050020,IN0000068545,1278.6,03-05-23
CUST0000055312,IN0000074714,820.2,11/21/2022
CUST0000089160,IN0000028402,256.7,12/25/2022
CUST0000066883,IN0000032021,1601.7,11-07-22
CUST0000015805,IN0000082470,379.4,2/13/2023
CUST0000046867,IN0000083509,1082.2,06-07-23
CUST0000032299,IN0000054273,453.7,09-05-23
CUST0000028266,IN0000025156,282.4,7/14/2023
CUST0000092530,IN0000045592,125.4,4/30/2023
CUST0000071199,IN0000012572,1300.9,08-06-23
CUST0000085885,IN0000077834,1006.9,7/29/2023
CUST0000033124,IN0000060742,473.1,5/22/2023
CUST0000054761,IN0000080548,618.4,7/27/2023
CUST0000043094,IN0000054940,1552.3,9/13/2023
CUST0000046597,IN0000018548,1629.2,1/13/2023
CUST0000096750,IN0000044528,1982.5,05-11-23
CUST0000062539,IN0000062361,1294.9,11/22/2022
CUST0000054494,IN0000075063,1286.2,7/18/2023
CUST0000074281,IN0000032003,364.8,02-02-23
CUST0000009904,IN0000035159,1916.9,1/29/2023
CUST0000066724,IN0000007227,454.2,08-02-23
CUST0000054980,IN0000091700,1454.2,8/26/2023
CUST0000082514,IN0000018434,1865.6,12/22/2022
CUST0000057458,IN0000073489,24.4,7/16/2023
CUST0000049724,IN0000047806,1759.4,3/25/2023
CUST0000099301,IN0000068799,1584.9,4/15/2023
CUST0000059284,IN0000094283,1185,6/27/2023
CUST0000058474,IN0000009440,1081.2,10/30/2022
CUST0000012957,IN0000019265,1601,2/27/2023
CUST0000046526,IN0000064134,1963.1,11/22/2022
CUST0000012049,IN0000090262,1299.9,04-11-23
CUST0000056946,IN0000014319,1394.3,2/15/2023
CUST0000006365,IN0000001466,1427.8,4/24/2023
CUST0000053543,IN0000043331,1643.3,12/16/2022
CUST0000035422,IN0000061202,1851.6,8/31/2023
CUST0000029993,IN0000018202,1670.5,8/18/2023
CUST0000006256,IN0000041915,622.3,06-05-23
CUST0000091265,IN0000027849,350.1,12/19/2022
CUST0000055901,IN0000045386,638.2,10/23/2022
CUST0000091668,IN0000000565,470.5,02-05-23
CUST0000061212,IN0000099077,736.1,03-02-23
CUST0000099884,IN0000084599,1281.8,2/27/2023
CUST0000005672,IN0000069257,178.3,4/27/2023
CUST0000004967,IN0000044093,1867.3,7/24/2023
CUST0000039223,IN0000073250,201,09-11-23
CUST0000067218,IN0000085118,1535.8,12-11-22
CUST0000044761,IN0000076038,226.8,3/18/2023
CUST0000016342,IN0000096841,649.4,5/22/2023
CUST0000095776,IN0000052498,1073.2,10/21/2022
CUST0000073006,IN0000000991,952.8,1/26/2023
CUST0000072870,IN0000030184,1006.7,08-05-23
CUST0000032830,IN0000042701,848.4,05-08-23
CUST0000070401,IN0000023564,1535.4,5/29/2023
CUST0000029377,IN0000020262,1606.8,06-08-23
CUST0000003515,IN0000005147,386.3,8/18/2023
CUST0000017722,IN0000048024,1561.5,04-12-23
CUST0000060893,IN0000065106,787.4,08-04-23
CUST0000064751,IN0000035196,1999.2,11/23/2022
CUST0000038384,IN0000041247,1050.4,10/27/2022
CUST0000019707,IN0000002231,1917.2,10/22/2022
CUST0000047744,IN0000009689,610.6,11/23/2022
CUST0000097552,IN0000038187,1295.5,03-05-23
CUST0000013668,IN0000062016,78.3,1/22/2023
CUST0000044418,IN0000030088,1095,1/29/2023
CUST0000018622,IN0000016062,1307.8,12-03-22
CUST0000052396,IN0000018217,1817.3,5/23/2023
CUST0000092991,IN0000015579,1071.4,4/26/2023
CUST0000083709,IN0000078343,942.5,12-02-22
CUST0000007136,IN0000040375,138.3,3/25/2023
CUST0000064714,IN0000017593,332.8,8/14/2023
CUST0000026024,IN0000048576,67.2,8/17/2023
CUST0000097004,IN0000082205,396.7,5/18/2023
CUST0000036583,IN0000035450,312.9,09-05-23
CUST0000021675,IN0000018709,888.7,10-10-23
CUST0000016844,IN0000025745,1640.2,3/18/2023
CUST0000028276,IN0000034283,1939,09-02-23
CUST0000015223,IN0000063834,675,04-08-23
CUST0000034810,IN0000005485,692.2,04-06-23
CUST0000007238,IN0000073316,1273,05-05-23
CUST0000043180,IN0000061129,175.4,6/26/2023
CUST0000050194,IN0000075160,333.8,11-09-22
CUST0000069855,IN0000056875,1173.4,3/29/2023
CUST0000016756,IN0000040354,453.8,4/17/2023
CUST0000035060,IN0000053469,532,6/16/2023
CUST0000030059,IN0000095327,1864.2,10/19/2022
CUST0000078267,IN0000003671,92.2,7/28/2023
CUST0000001605,IN0000016164,335.6,9/18/2023
CUST0000005410,IN0000063798,661.4,2/19/2023
CUST0000074570,IN0000013212,1038.2,04-02-23
CUST0000072016,IN0000065697,480,09-02-23
CUST0000038944,IN0000072652,1228.7,7/20/2023
CUST0000022984,IN0000044756,1145.2,12-12-22
CUST0000022198,IN0000077184,106.6,10/25/2022
CUST0000091708,IN0000093748,1435.4,5/19/2023
CUST0000075779,IN0000085733,252,7/20/2023
CUST0000082421,IN0000085350,1348.6,9/24/2023
CUST0000029696,IN0000092332,1359.5,08-08-23
CUST0000015217,IN0000008327,1974.6,10/26/2022
CUST0000025404,IN0000057060,99.8,10/19/2022
CUST0000008225,IN0000017006,6.9,05-11-23
CUST0000027849,IN0000008491,410.3,12/20/2022
CUST0000000732,IN0000090082,1729.7,7/15/2023
CUST0000069675,IN0000094237,1566.5,9/16/2023
CUST0000063310,IN0000041348,1051.5,11-11-22
CUST0000058191,IN0000010377,1229.1,7/31/2023
CUST0000042207,IN0000016929,199.6,5/26/2023
CUST0000027539,IN0000044234,1852.9,08-03-23
CUST0000011892,IN0000039716,920.2,6/21/2023
CUST0000021432,IN0000015170,14.1,12-03-22
CUST0000096950,IN0000002599,1918.4,11/21/2022
CUST0000030680,IN0000095009,1304.1,5/16/2023
CUST0000010068,IN0000089378,1873.7,3/27/2023
CUST0000079775,IN0000091294,1514,9/22/2023
CUST0000075086,IN0000001180,1315.4,09-12-23
CUST0000044180,IN0000023861,558,09-03-23
CUST0000014230,IN0000095326,1643.4,11/17/2022
CUST0000034197,IN0000012878,1769.9,02-11-23
CUST0000028957,IN0000018442,1758.9,3/14/2023
CUST0000010581,IN0000065428,99.5,8/23/2023
CUST0000016685,IN0000096863,1658.1,2/15/2023
CUST0000014824,IN0000093599,885,12/29/2022
CUST0000071865,IN0000086456,1224.8,07-06-23
CUST0000086195,IN0000026009,1919,5/18/2023
CUST0000006467,IN0000087323,1646.7,10-09-23
CUST0000004609,IN0000031452,14.5,5/17/2023
CUST0000075431,IN0000046270,303.1,05-01-23
CUST0000008365,IN0000047665,276.2,08-06-23
CUST0000017857,IN0000014992,1230.3,8/17/2023
CUST0000028840,IN0000076301,811.4,09-07-23
CUST0000052028,IN0000087084,754.8,9/23/2023
CUST0000058827,IN0000045317,1216.7,02-11-23
CUST0000093471,IN0000049411,1935.8,2/25/2023
CUST0000066197,IN0000046273,1484.9,12/25/2022
CUST0000011379,IN0000071099,1958.5,3/16/2023
CUST0000039614,IN0000028501,755,11/24/2022
CUST0000017658,IN0000038254,1114.6,10/30/2022
CUST0000026774,IN0000092638,1244.7,8/23/2023
CUST0000055497,IN0000097501,549.3,12/31/2022
CUST0000092645,IN0000080782,1090,6/27/2023
CUST0000099865,IN0000006669,140.1,12-05-22
CUST0000071286,IN0000069599,576.5,1/26/2023
CUST0000069638,IN0000089662,62.6,9/23/2023
CUST0000044700,IN0000065415,712.8,03-02-23
CUST0000087449,IN0000054474,710.6,5/29/2023
CUST0000091117,IN0000005290,1570,10/13/2022
CUST0000062365,IN0000027662,629.1,1/15/2023
CUST0000099424,IN0000030164,825.5,8/30/2023
CUST0000041316,IN0000040552,1970.3,07-07-23
CUST0000084079,IN0000087906,1111.1,01-09-23
CUST0000016901,IN0000041918,256.8,6/19/2023
CUST0000032452,IN0000038055,641.1,03-05-23
CUST0000049488,IN0000079384,791.1,9/29/2023
CUST0000027028,IN0000039975,792.2,4/29/2023
CUST0000093350,IN0000065719,376,8/18/2023
CUST0000058750,IN0000089550,1236.6,01-10-23
CUST0000011756,IN0000093961,1905.9,12-05-22
CUST0000032767,IN0000055585,1880.1,6/26/2023
CUST0000013962,IN0000049871,1984.4,12/31/2022
CUST0000071729,IN0000078479,1870.8,12-12-22
CUST0000089524,IN0000047251,247.3,09-10-23
CUST0000094940,IN0000048510,704.3,11/28/2022
CUST0000018564,IN0000069617,979.1,5/26/2023
CUST0000086587,IN0000072137,137.2,3/18/2023
CUST0000076049,IN0000016064,1966.9,8/18/2023
CUST0000020403,IN0000045838,902.7,11-11-22
CUST0000096338,IN0000097011,853,08-05-23
CUST0000073422,IN0000013822,306.4,5/21/2023
CUST0000079805,IN0000096447,646.6,11/23/2022
CUST0000074848,IN0000009644,836.9,05-01-23
CUST0000052374,IN0000039939,935.7,9/27/2023
CUST0000007244,IN0000018543,1502.6,7/19/2023
CUST0000090704,IN0000057960,1261.4,03-10-23
CUST0000028469,IN0000009955,1738.3,11/21/2022
CUST0000019630,IN0000055512,1851.8,08-04-23
CUST0000001481,IN0000054835,220.7,05-04-23
CUST0000024241,IN0000048088,1702.2,11/23/2022
CUST0000029375,IN0000041430,1590.1,2/15/2023
CUST0000091620,IN0000041576,246.4,9/25/2023
CUST0000055749,IN0000095900,1766.2,5/24/2023
CUST0000043212,IN0000096427,925.7,07-02-23
CUST0000089412,IN0000008243,1035.6,3/20/2023
CUST0000087080,IN0000089720,1258.2,1/14/2023
CUST0000048654,IN0000065200,648,08-10-23
CUST0000070382,IN0000069941,1925.3,9/25/2023
CUST0000021562,IN0000048784,909.2,04-06-23
CUST0000058846,IN0000094597,926.4,03-06-23
CUST0000000061,IN0000065187,481.3,7/30/2023
CUST0000052836,IN0000007491,1178.3,09-12-23
CUST0000037373,IN0000048240,1693.8,03-06-23
CUST0000099351,IN0000049960,855.6,4/26/2023
CUST0000087441,IN0000037772,376.6,10/27/2022
CUST0000086878,IN0000061681,1968.5,6/25/2023
CUST0000095759,IN0000061768,274.6,04-06-23
CUST0000090159,IN0000099826,1793.6,7/14/2023
CUST0000015250,IN0000058112,1292,07-08-23
CUST0000030168,IN0000054427,1496.7,4/25/2023
CUST0000051822,IN0000051721,669.7,03-10-23
CUST0000097626,IN0000043391,622.8,4/15/2023
CUST0000047805,IN0000069468,254.8,4/28/2023
CUST0000022244,IN0000011047,1369.3,02-07-23
CUST0000045586,IN0000052174,1277.8,4/28/2023
CUST0000013662,IN0000099513,1966.4,7/20/2023
CUST0000032532,IN0000031991,886.3,5/22/2023
CUST0000077712,IN0000065619,159.1,01-05-23
CUST0000044169,IN0000062072,1630.8,07-02-23
CUST0000066000,IN0000039931,671.8,2/22/2023
CUST0000032659,IN0000083597,781.9,06-10-23
CUST0000073140,IN0000086630,1677.5,3/26/2023
CUST0000008297,IN0000047083,1269.5,01-09-23
CUST0000019979,IN0000087261,617.9,11-11-22
CUST0000089754,IN0000019854,563.6,4/24/2023
CUST0000056596,IN0000082338,286.9,2/25/2023
CUST0000032298,IN0000028635,1549,03-10-23
CUST0000059224,IN0000037055,1066.2,11/16/2022
CUST0000085201,IN0000026644,914.3,8/28/2023
CUST0000011513,IN0000030593,453.4,8/21/2023
CUST0000054920,IN0000002602,1464.1,7/26/2023
CUST0000091642,IN0000048861,1243,5/27/2023
CUST0000034465,IN0000097298,689.4,09-04-23
CUST0000046676,IN0000047952,868.9,03-09-23
CUST0000043980,IN0000005682,1338.6,12/23/2022
CUST0000047892,IN0000086185,623.5,5/21/2023
CUST0000044222,IN0000078379,1662.5,10/30/2022
CUST0000073374,IN0000028698,431.8,03-09-23
CUST0000085030,IN0000094683,754,10/30/2022
CUST0000022003,IN0000023298,1074.5,6/19/2023
CUST0000095216,IN0000077450,1169,10-12-23
CUST0000002445,IN0000008308,365.6,10/28/2022
CUST0000004024,IN0000037907,31.1,1/31/2023
CUST0000087578,IN0000072941,1518.8,08-09-23
CUST0000026330,IN0000009678,1352.3,07-03-23
CUST0000081197,IN0000090012,1781,06-09-23
CUST0000010661,IN0000073175,273.1,07-11-23
CUST0000032653,IN0000088498,712.7,08-01-23
CUST0000080404,IN0000027706,1133.1,12/18/2022
CUST0000029910,IN0000046947,798.5,07-04-23
CUST0000079875,IN0000027537,1644.7,05-05-23
CUST0000081562,IN0000027997,1633,12-04-22
CUST0000032390,IN0000022113,23.3,8/26/2023
CUST0000082653,IN0000005094,1581.3,12-03-22
CUST0000040856,IN0000000893,1055.8,12/24/2022
CUST0000032015,IN0000097905,776.5,07-08-23
CUST0000042866,IN0000072526,441.7,1/23/2023
CUST0000072293,IN0000049021,464.2,12-01-22
CUST0000079593,IN0000021026,521.8,07-01-23
CUST0000054892,IN0000013228,1879.3,11-09-22
CUST0000032594,IN0000048555,910.9,04-05-23
CUST0000033876,IN0000053439,1609.6,07-06-23
CUST0000068252,IN0000062863,1760.9,5/18/2023
CUST0000066420,IN0000046186,264.1,1/26/2023
CUST0000060436,IN0000096082,1264.3,11/25/2022
CUST0000028057,IN0000075865,635.1,11/20/2022
CUST0000016366,IN0000016614,1027.5,9/29/2023
CUST0000047991,IN0000012678,462.5,10-08-23
